
1, 1, 5, 0, 0, , 1000, 
30101001, 30101002, 5, 20, 30101005, 非常幸运的得到了新后代, 1000, 
30101001, 30101003, 5, 20, 30101005, 非常幸运的得到了新后代, 1000, 
30101001, 30101004, 5, 20, 30101005, 非常幸运的得到了新后代, 1000, 
30101002, 30101003, 5, 20, 30101006, 非常幸运的得到了新后代, 1000, 
30101002, 30101004, 5, 20, 30101006, 非常幸运的得到了新后代, 1000, 
30101003, 30101004, 5, 20, 30101007, 非常幸运的得到了新后代, 1000, 
30101005, 30101006, 5, 20, 30101008, 非常幸运的得到了新后代, 1000, 
30101005, 30101007, 5, 20, 30101008, 非常幸运的得到了新后代, 1000, 
30101006, 30101007, 5, 20, 30101009, 非常幸运的得到了新后代, 1000, 
30101008, 30101009, 5, 20, 30101010, 非常幸运的得到了新后代, 1000, 
30101011, 30101012, 5, 20, 30101015, 非常幸运的得到了新后代, 1000, 
30101011, 30101013, 5, 20, 30101015, 非常幸运的得到了新后代, 1000, 
30101011, 30101014, 5, 20, 30101015, 非常幸运的得到了新后代, 1000, 
30101012, 30101013, 5, 20, 30101016, 非常幸运的得到了新后代, 1000, 
30101012, 30101014, 5, 20, 30101016, 非常幸运的得到了新后代, 1000, 
30101013, 30101014, 5, 20, 30101017, 非常幸运的得到了新后代, 1000, 
30101015, 30101016, 5, 20, 30101018, 非常幸运的得到了新后代, 1000, 
30101015, 30101017, 5, 20, 30101018, 非常幸运的得到了新后代, 1000, 
30101016, 30101017, 5, 20, 30101019, 非常幸运的得到了新后代, 1000, 
30101018, 30101019, 5, 20, 30101020, 非常幸运的得到了新后代, 1000, 
30101021, 30101022, 5, 20, 30101025, 非常幸运的得到了新后代, 1000, 
30101021, 30101023, 5, 20, 30101025, 非常幸运的得到了新后代, 1000, 
30101021, 30101024, 5, 20, 30101025, 非常幸运的得到了新后代, 1000, 
30101022, 30101023, 5, 20, 30101026, 非常幸运的得到了新后代, 1000, 
30101022, 30101024, 5, 20, 30101026, 非常幸运的得到了新后代, 1000, 
30101023, 30101024, 5, 20, 30101027, 非常幸运的得到了新后代, 1000, 
30101025, 30101026, 5, 20, 30101028, 非常幸运的得到了新后代, 1000, 
30101025, 30101027, 5, 20, 30101028, 非常幸运的得到了新后代, 1000, 
30101026, 30101027, 5, 20, 30101029, 非常幸运的得到了新后代, 1000, 
30101028, 30101029, 5, 20, 30101030, 非常幸运的得到了新后代, 1000, 
30101031, 30101032, 5, 20, 30101035, 非常幸运的得到了新后代, 1000, 
30101031, 30101033, 5, 20, 30101035, 非常幸运的得到了新后代, 1000, 
30101031, 30101034, 5, 20, 30101035, 非常幸运的得到了新后代, 1000, 
30101032, 30101033, 5, 20, 30101036, 非常幸运的得到了新后代, 1000, 
30101032, 30101034, 5, 20, 30101036, 非常幸运的得到了新后代, 1000, 
30101033, 30101034, 5, 20, 30101037, 非常幸运的得到了新后代, 1000, 
30101035, 30101036, 5, 20, 30101038, 非常幸运的得到了新后代, 1000, 
30101035, 30101037, 5, 20, 30101038, 非常幸运的得到了新后代, 1000, 
30101036, 30101037, 5, 20, 30101039, 非常幸运的得到了新后代, 1000, 
30101038, 30101039, 5, 20, 30101040, 非常幸运的得到了新后代, 1000, 
30101041, 30101042, 5, 20, 30101045, 非常幸运的得到了新后代, 1000, 
