
30101001, ICON_64_Animal_Cat_0001, 虎纹猫, 5184000, 11, 58, 80000155, 0, 1, 0, 不管什么喵，能抓老鼠的就是好喵。, 云纹似虎，鼠穴当空, 90001$$ 90011$$ 90021$$ 90041, 0, 1, 0, 10031$$ 10081$$ 10501$$ 10551$$ 10101, 50$$ 35$$ 5$$ 5$$ 5, 2$$ 2$$ 2$$ 2$$ 2, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101001, 0, 150, 0, 360, 60, 1, , , , , , , 
30101002, ICON_64_Animal_Cat_0003, 葫芦猫, 5184000, 11, 58, 80000156, 0, 1, 0, 为《猫谱》所载，猫中善渡者。, 吞江洗海，遇水不沉, 90001$$ 90011$$ 90021$$ 90041, 0, 1, 0, 10031$$ 10081$$ 10501$$ 10551$$ 10101, 50$$ 35$$ 5$$ 5$$ 5, 2$$ 2$$ 2$$ 2$$ 2, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101002, 0, 150, 0, 360, 60, 1, , , , , , , 
30101003, ICON_64_Animal_Cat_0002, 灵雪猫, 5184000, 11, 58, 80000157, 0, 1, 0, 前朝铁中棠之妻水灵光所饲之名种。, 通体如雪，灵目如光, 90001$$ 90011$$ 90021$$ 90041, 0, 1, 0, 10031$$ 10081$$ 10501$$ 10551$$ 10101, 50$$ 35$$ 5$$ 5$$ 5, 2$$ 2$$ 2$$ 2$$ 2, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101003, 0, 150, 0, 360, 60, 1, , , , , , , 
30101004, ICON_64_Animal_Cat_0004, 罗汉猫, 5184000, 11, 58, 80000158, 0, 1, 0, 脾气很好，但不太会撒娇。, 长面罗汉，开口不祥, 90001$$ 90011$$ 90021$$ 90041, 0, 1, 0, 10031$$ 10081$$ 10501$$ 10551$$ 10101, 50$$ 35$$ 5$$ 5$$ 5, 2$$ 2$$ 2$$ 2$$ 2, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101004, 0, 150, 0, 360, 60, 1, , , , , , , 
30101005, ICON_64_Animal_Cat_0006, 乌云虎, 5184000, 11, 58, 80000159, 0, 2, 0, 一只心有奇志、想当大王的喵。, 乌云踏雪，桀骜难驯, 90001$$ 90011$$ 90021$$ 90041, 1, 1, 0, 10031$$ 10081$$ 10501$$ 10511$$ 10551$$ 10561$$ 10101, 50$$ 35$$ 3$$ 3$$ 2$$ 2$$ 5, 3$$ 3$$ 3$$ 3$$ 3$$ 3$$ 3, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101005, 0, 150, 0, 360, 60, 1, , , , , , , 
30101006, ICON_64_Animal_Cat_0005, 斑斓锤, 5184000, 11, 58, 80000160, 0, 2, 0, 最擅于黄昏至入夜间奔走。, 斑驳陆离，似锦难绣, 90001$$ 90011$$ 90021$$ 90041, 1, 1, 0, 10031$$ 10081$$ 10501$$ 10511$$ 10551$$ 10561$$ 10101, 50$$ 35$$ 3$$ 3$$ 2$$ 2$$ 5, 3$$ 3$$ 3$$ 3$$ 3$$ 3$$ 3, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101006, 0, 150, 0, 360, 60, 1, , , , , , , 
30101007, ICON_64_Animal_Cat_0007, 小泼墨, 5184000, 11, 58, 80000161, 0, 2, 0, 文士们最喜欢饲养此种名猫。, 妙如美人，雅若高士, 90001$$ 90011$$ 90021$$ 90041, 1, 1, 0, 10031$$ 10081$$ 10501$$ 10511$$ 10551$$ 10561$$ 10101, 50$$ 35$$ 3$$ 3$$ 2$$ 2$$ 5, 3$$ 3$$ 3$$ 3$$ 3$$ 3$$ 3, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101007, 0, 150, 0, 360, 60, 1, , , , , , , 
30101008, ICON_64_Animal_Cat_0008, 素心玉, 5184000, 11, 58, 80000162, 0, 3, 0, 叫声极为曼妙动人的品种。, 心有素氛，嗅之若莲, 90001$$ 90011$$ 90021$$ 90041, 1, 2, 0, 10031$$ 10081$$ 10501$$ 10511$$ 10521$$ 10551$$ 10561$$ 10571$$ 10101, 50$$ 35$$ 2$$ 2$$ 2$$ 2$$ 1$$ 1$$ 5, 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101008, 0, 150, 0, 360, 60, 1, , , , , , , 
30101009, ICON_64_Animal_Cat_0009, 锦衣玳瑁, 5184000, 11, 58, 80000163, 1, 3, 0, 宜动宜静，宜杀宜伐，猫中极品。, 衣锦夜行，睥睨江湖, 90001$$ 90011$$ 90021$$ 90041, 1, 2, 0, 10031$$ 10081$$ 10501$$ 10511$$ 10521$$ 10551$$ 10561$$ 10571$$ 10101, 50$$ 35$$ 2$$ 2$$ 2$$ 2$$ 1$$ 1$$ 5, 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101009, 0, 150, 0, 360, 60, 1, , , , , , , 
30101010, ICON_64_Animal_Cat_0010, 幽夜炽火, 5184000, 11, 58, 80000164, 1, 4, 0, 传说中，见到此猫之人，便如同见到了希望。, 幽夜圣君，磷火烛世, 90001$$ 90011$$ 90021$$ 90041, 2, 3, 0, 10031$$ 10081$$ 10511$$ 10521$$ 10531$$ 10561$$ 10571$$ 10581$$ 10101, 50$$ 35$$ 2$$ 2$$ 2$$ 2$$ 1$$ 1$$ 5, 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4$$ 4, 0, 0, 1, 0, , , , , 1, 1, 1, 631, 30101010, 0, 150, 0, 360, 60, 1, , , , , , , 
