
10001, 1, 0, 0, 1, 0, 0, 0, 0.0, 3, 4, 0, 0, 10002, 扩展包裹4个，该类型技能只会取最高等级的生效，无法叠加。###扩展包裹4个, 共携, 1, 0, 30106001, 1, SKILLL_PET_gongxie, 0, 0, 0, 
10002, 2, 0, 0, 1, 0, 0, 0, 0.0, 3, 6, 0, 0, 10003, 扩展包裹6个，该类型技能只会取最高等级的生效，无法叠加。###扩展包裹6个, 共携, 1, 90000, 0, 0, SKILLL_PET_gongxie, 0, 0, 0, 
10003, 3, 0, 0, 1, 0, 0, 0, 0.0, 3, 8, 0, 0, 10004, 扩展包裹8个，该类型技能只会取最高等级的生效，无法叠加。###扩展包裹8个, 共携, 1, 180000, 0, 0, SKILLL_PET_gongxie, 0, 0, 0, 
10004, 4, 0, 0, 1, 0, , , , 3, 10, 0, 0, 10005, 扩展包裹10个，该类型技能只会取最高等级的生效，无法叠加。###扩展包裹10个, 共携, 1, 540000, 0, 0, SKILLL_PET_gongxie, 0, 0, 0, 
10005, 5, 0, 0, 1, 0, , , , 3, 12, 0, 0, 0, 扩展包裹12个，该类型技能只会取最高等级的生效，无法叠加。###扩展包裹12个, 共携, 1, 810000, 0, 0, SKILLL_PET_gongxie, 0, 0, 0, 
10011, 1, 1, 0, 1, 0, 0, 0, 0.0, 4, 1, 60, 0, 0, 宠物拥有该技能则可以随时随地使用写信功能###随时随地送信, 送信, 1, 50000, 0, 0, SKILLL_PET_songxin, 0, 0, 0, 
10012, 2, 1, 0, 1, 0, 0, 0, 0.0, 4, 1, 120, 0, 10013, 宠物拥有该技能则可以随时随地使用写信功能###随时随地送信, 送信, 1, 50000, 0, 0, SKILLL_PET_songxin, 0, 0, 0, 
10013, 3, 1, 0, 1, 0, , , , 4, 1, 180, 0, 10014, 宠物拥有该技能则可以随时随地使用写信功能###随时随地送信, 送信, 1, 50000, 0, 0, SKILLL_PET_songxin, 0, 0, 0, 
10014, 4, 1, 0, 1, 0, , , , 4, 1, 240, 0, 0, 宠物拥有该技能则可以随时随地使用写信功能###随时随地送信, 送信, 1, 50000, 0, 0, SKILLL_PET_songxin, 0, 0, 0, 
10021, 1, 2, 0, 1, 0, 0, 0, 0.0, 4, 2, 60, 0, 0, 宠物拥有该技能则可以随时随地收发带有附件的信件###随时随地收发带有附件的信件, 随身邮件, 1, 0, 30106009, 1, SKILLL_PET_songwu, 0, 0, 0, 
10022, 2, 2, 0, 1, 0, 0, 0, 0.0, 4, 2, 120, 0, 10023, 宠物拥有该技能则可以随时随地收发带有附件的信件###随时随地收发带有附件的信件, 随身邮件, 1, 0, 0, 0, SKILLL_PET_songwu, 0, 0, 0, 
10023, 3, 2, 0, 1, 0, , , , 4, 2, 180, 0, 10024, 宠物拥有该技能则可以随时随地收发带有附件的信件###随时随地收发带有附件的信件, 随身邮件, 1, 0, 0, 0, SKILLL_PET_songwu, 0, 0, 0, 
10024, 4, 2, 0, 1, 0, , , , 4, 2, 240, 0, 0, 宠物拥有该技能则可以随时随地收发带有附件的信件###随时随地收发带有附件的信件, 随身邮件, 1, 0, 0, 0, SKILLL_PET_songwu, 0, 0, 0, 
10031, 1, 3, 0, 1, 0, , , , 9, 2, 0, 0, 10032, 扩大昆仑玉范围2米，该类型技能只会取最高等级的生效，无法叠加。###扩大昆仑玉范围2米, 探宝, 1, 0, 30106003, 1, SKILLL_PET_tance, 0, 0, 0, 
10032, 2, 3, 0, 1, 0, , , , 9, 4, 0, 0, 10033, 扩大昆仑玉范围4米，该类型技能只会取最高等级的生效，无法叠加。###扩大昆仑玉范围4米, 探宝, 1, 60000, 0, 0, SKILLL_PET_tance, 0, 0, 0, 
10033, 3, 3, 0, 1, 0, , , , 9, 6, 0, 0, 10034, 扩大昆仑玉范围6米，该类型技能只会取最高等级的生效，无法叠加。###扩大昆仑玉范围6米, 探宝, 1, 120000, 0, 0, SKILLL_PET_tance, 0, 0, 0, 
