
1, 好看的师妹穿上好看的衣裳，变得更好看了！, 1, 2, , , , , 
2, 清水出芙蓉，天然去雕饰。, 1, 1, , , , , 
3, 我会考虑的。, 1, 0, , , , , 
4, 师妹元气满满的样子，真可爱啊。, 1, 2, , , , , 
5, 嗯，能学到东西就好。, 1, 1, , , , , 
6, 别骄傲，赶紧去温习。, 1, 0, , , , , 
7, 啊，学习要紧，身体也要注意呢。, 1, 2, , , , , 
8, 努力就会有收获，加油。, 1, 1, , , , , 
9, 知道了。, 1, 0, , , , , 
10, 明白了，我会多陪你玩耍和休息的。, 1, 2, , , , , 
11, 摸摸头，坚持一下。, 1, 1, , , , , 
12, 这样啊，那……多喝开水。, 1, 0, , , , , 
13, 师妹宽心，燕云气候恶劣，你万事小心。, 1, 2, , , , , 
14, 离盟主久经风波，自会处理好这些事情。, 1, 1, , , , , 
15, 你管好分内之事即可，不必强自出头。, 1, 0, , , , , 
16, 看来很有收获，回来和我好好讲讲。, 1, 2, , , , , 
17, 瞧你这劲，可不许骄傲。, 1, 1, , , , , 
18, 说得挺对。, 1, 0, , , , , 
19, 若师妹担心，我便陪你时常去书生家拜访。, 1, 2, , , , , 
20, 我已去信给当地京兆府尹，让他多多关照。, 1, 1, , , , , 
21, 你救得了这一时，却也不知日后情况如何。, 1, 0, , , , , 
22, 幸好师妹发现及时，掌柜也及时进行了配合。, 1, 2, , , , , 
23, 若对此感兴趣，下次可请教天香师姐。, 1, 1, , , , , 
24, 那是自然，你可要多加学习。, 1, 0, , , , , 
25, 我修书一封于当地商会，请他们日后出手多加协管。, 1, 2, , , , , 
26, 若是有两全之法便好了。, 1, 1, , , , , 
27, 勤加修炼，多想无益。, 1, 0, , , , , 
28, 师妹这次完美地完成了任务，我也替你高兴。, 1, 2, , , , , 
29, 师父来信向我提及，对你很是赞赏。, 1, 1, , , , , 
30, 你做得很好。, 1, 0, , , , , 
31, 相信八荒齐心，师妹心愿必将实现。, 1, 2, , , , , 
32, 中元已近，与我为他共点河灯一盏祈福吧。, 1, 1, , , , , 
33, 故人已逝，生者还要前行。, 1, 0, , , , , 
34, 世间也有无数良缘佳话，不必过于耿怀。, 1, 2, , , , , 
35, 好在你识破此人奸计，将之绳之以法。, 1, 1, , , , , 
36, 人心往往比鬼神更可怕。, 1, 0, , , , , 
37, 我也向江湖上通晓药草好友知会此事，师妹宽心。, 1, 2, , , , , 
38, 镇民中毒情况有所好转，希望莫再有风波。, 1, 1, , , , , 
39, 师妹心思缜密，做的甚好。, 1, 0, , , , , 
40, 此毒厉害，我为你把脉看看是否余毒已清。, 1, 2, , , , , 
41, 师父也赞你胆大心细，侠举难得。, 1, 1, , , , , 
42, 贪小益者，必失大。, 1, 0, , , , , 
43, 还好你拆穿及时。, 1, 2, , , , , 
44, 民惧官差，却造成了这等误会。, 1, 1, , , , , 
45, 世上竟有如此荒唐大胆的取财方式。, 1, 0, , , , , 
46, 你若有兴趣，我倒可讲些他们的江湖传奇与你听。, 1, 2, , , , , 
47, 黑街定感激于你，日后行走江湖多得方便。, 1, 1, , , , , 
48, 黑街之人云谲波诡，少与之来往为妙。, 1, 0, , , , , 
49, 你此次所谓，实乃一番善果。, 1, 2, , , , , 
50, 采买使已被主事逐出书院，师妹宽心。, 1, 1, , , , , 
51, 看来利益熏心，连圣贤人也不可免俗。, 1, 0, , , , , 
