id, affixId, level, affixName, conditionString, description                            ,icon2d,quality, isSpecial,needLearn,isRevise,  equipType,  partType,  career,  minEquipLevel, skillType,  proficiencyLevel,  qualityLevel,   prob, resetProb, upgradeItemIds, itemCounts,        , additionIds, additionWeights, resetWeights, minQuality, stuntId, resetQualityClient,
1, 2001, 1, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 0, 0, 0, 0, 0, 0, -1, 40, 2, 1, 1, 0.2222, 0.2222, 0, [], [], [1001011$$ 1001012], [0.9$$ 0.1], [9$$ 1], 0, 0, 0,
2, 2001, 2, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 0, 0, 0, 0, 0, 0, -1, 60, 2, 5, 2, 0.0465, 0.0465, 0, [], [], [1001021$$ 1001022], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
3, 2001, 3, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 1, 0, 0, 0, 0, 0, -1, 70, 2, 9, 3, 0.0279, 0.0279, 0, [], [], [1001031$$ 1001032], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
4, 2001, 4, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 1, 0, 0, 0, 0, 0, -1, 80, 2, 13, 4, 0.014, 0.014, 0, [], [], [1001041$$ 1001042], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
5, 2001, 5, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 1, 0, 1, 0, 0, 0, -1, 90, 2, 17, 5, 0.00011, 0.0093, 1, [2100050], [1], [1001051$$ 1001052], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
6, 2001, 6, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 2, 0, 1, 0, 0, 0, -1, 100, 2, 21, 6, 1e-06, 0.0084, 1, [2100050], [3], [1001061$$ 1001062], [0.9$$ 0.1], [7$$ 3], 0, 0, 0, 
7, 2001, 7, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 2, 0, 1, 0, 0, 0, -1, 115, 2, 25, 7, 1e-06, 0.0074, 1, [2100050], [5], [1001071$$ 1001072], [0.9$$ 0.1], [0$$ 10], 0, 0, 0, 
8, 2001, 8, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 2, 0, 1, 0, 0, 0, -1, 140, 2, 29, 8, 0.0065, 0.0065, 1, [2100050], [8], [1001081$$ 1001082], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
9, 2001, 9, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 3, 0, 1, 0, 0, 0, -1, 140, 2, 33, 9, 0.0001, 0.0001, 1, [2100050], [10], [1001091$$ 1001092], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
10, 2001, 10, 淬力, , 制造装备有可能增加力道\n“力须淬，千斤万担，一夫当关。”, , 3, 0, 1, 0, 0, 0, -1, 140, 2, 37, 10, 0.0001, 0.0001, 1, [2100050], [20], [1001101$$ 1001102], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
11, 2002, 1, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 0, 0, 0, 0, 0, 0, -1, 40, 2, 1, 1, 0.2222, 0.2222, 0, [], [], [1002011$$ 1002012], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
12, 2002, 2, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 0, 0, 0, 0, 0, 0, -1, 60, 2, 5, 2, 0.0465, 0.0465, 0, [], [], [1002021$$ 1002022], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
13, 2002, 3, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 1, 0, 0, 0, 0, 0, -1, 70, 2, 9, 3, 0.0279, 0.0279, 0, [], [], [1002031$$ 1002032], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
14, 2002, 4, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 1, 0, 0, 0, 0, 0, -1, 80, 2, 13, 4, 0.014, 0.014, 0, [], [], [1002041$$ 1002042], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
15, 2002, 5, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 1, 0, 1, 0, 0, 0, -1, 90, 2, 17, 5, 0.00011, 0.0093, 1, [2100050], [1], [1002051$$ 1002052], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
16, 2002, 6, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 2, 0, 1, 0, 0, 0, -1, 100, 2, 21, 6, 1e-06, 0.0084, 1, [2100050], [3], [1002061$$ 1002062], [0.9$$ 0.1], [7$$ 3], 0, 0, 0, 
17, 2002, 7, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 2, 0, 1, 0, 0, 0, -1, 115, 2, 25, 7, 1e-06, 0.0074, 1, [2100050], [5], [1002071$$ 1002072], [0.9$$ 0.1], [0$$ 10], 0, 0, 0, 
18, 2002, 8, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 2, 0, 1, 0, 0, 0, -1, 140, 2, 29, 8, 0.0065, 0.0065, 1, [2100050], [8], [1002081$$ 1002082], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
19, 2002, 9, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 3, 0, 1, 0, 0, 0, -1, 140, 2, 33, 9, 0.0001, 0.0001, 1, [2100050], [10], [1002091$$ 1002092], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
20, 2002, 10, 益气, , 制造装备有可能增加气劲\n“气须益，取敌面目，劲道十足。”, , 3, 0, 1, 0, 0, 0, -1, 140, 2, 37, 10, 0.0001, 0.0001, 1, [2100050], [20], [1002101$$ 1002102], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
21, 2003, 1, 慧观, , 制造装备有可能增加洞察\n“眼观心，洞敌先机，一击致命。”, , 0, 0, 0, 0, 0, 0, -1, 40, 2, 2, 1, 0.2222, 0.2222, 0, [], [], [1004011$$ 1004012], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
22, 2003, 2, 慧观, , 制造装备有可能增加洞察\n“眼观心，洞敌先机，一击致命。”, , 0, 0, 0, 0, 0, 0, -1, 60, 2, 5, 2, 0.0465, 0.0465, 0, [], [], [1004021$$ 1004022], [0.9$$ 0.1], [9$$ 1], 0, 0, 0, 
23, 2003, 3, 慧观, , 制造装备有可能增加洞察\n“眼观心，洞敌先机，一击致命。”, , 1, 0, 0, 0, 0, 0, -1, 70, 2, 9, 3, 0.0279, 0.0279, 0, [], [], [1004031$$ 1004032], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
24, 2003, 4, 慧观, , 制造装备有可能增加洞察\n“眼观心，洞敌先机，一击致命。”, , 1, 0, 0, 0, 0, 0, -1, 80, 2, 13, 4, 0.014, 0.014, 0, [], [], [1004041$$ 1004042], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
25, 2003, 5, 慧观, , 制造装备有可能增加洞察\n“眼观心，洞敌先机，一击致命。”, , 1, 0, 1, 0, 0, 0, -1, 90, 2, 17, 5, 0.00011, 0.0093, 1, [2100050], [1], [1004051$$ 1004052], [0.9$$ 0.1], [10$$ 0], 0, 0, 0, 
26, 2003, 6, 慧观, , 制造装备有可能增加洞察\n“眼观心，洞敌先机，一击致命。”, , 2, 0, 1, 0, 0, 0, -1, 100, 2, 21, 6, 1e-06, 0.0084, 1, [2100050], [3], [1004061$$ 1004062], [0.9$$ 0.1], [7$$ 3], 0, 0, 0, 
