x,y,type,name,id
259190, 134988, MonsterPoint, 小灰马, 5
158877, 167871, MonsterPoint, 小灰马, 18
121053, 184977, MonsterPoint, 小灰马, 20
253770, 208325, MonsterPoint, 小灰马, 21
256366, 202659, MonsterPoint, 小灰马, 23
237339, 127988, MonsterPoint, 小灰马, 25
235682, 138134, MonsterPoint, 小灰马, 27
180019, 202897, MonsterPoint, 小灰马, 33
247737, 194966, MonsterPoint, 小灰马, 34
244341, 196298, MonsterPoint, 小灰马, 36
199613, 168589, MonsterPoint, 小灰马, 53
209502, 190744, MonsterPoint, 小灰马, 55
262759, 219134, MonsterPoint, 小灰马, 56
262553, 218962, MonsterPoint, 小灰马, 57
252072, 212901, MonsterPoint, 小灰马, 58
251758, 212856, MonsterPoint, 小灰马, 59
225825, 228453, MonsterPoint, 小灰马, 60
225678, 228415, MonsterPoint, 小灰马, 61
241372, 226422, MonsterPoint, 小灰马, 62
241548, 226582, MonsterPoint, 小灰马, 63
212660, 164378, MonsterPoint, 小灰马, 68
212774, 164382, MonsterPoint, 小灰马, 69
162944, 170576, MonsterPoint, 小灰马, 70
163103, 170679, MonsterPoint, 小灰马, 71
173213, 205497, MonsterPoint, 小灰马, 72
175363, 203711, MonsterPoint, 小灰马, 73
144502, 201630, MonsterPoint, 小灰马, 76
161137, 210526, MonsterPoint, 小灰马, 77
161025, 210324, MonsterPoint, 小灰马, 78
146499, 209102, MonsterPoint, 小灰马, 79
146562, 208925, MonsterPoint, 小灰马, 80
135968, 188389, MonsterPoint, 小灰马, 81
136101, 188343, MonsterPoint, 小灰马, 82
184647, 186998, MonsterPoint, 小灰马, 85
184752, 187050, MonsterPoint, 小灰马, 86
198970, 190057, MonsterPoint, 小灰马, 88
204097, 220786, MonsterPoint, 小灰马, 93
203997, 220713, MonsterPoint, 小灰马, 94
182953, 196232, MonsterPoint, 小灰马, 95
182819, 196208, MonsterPoint, 小灰马, 96
182672, 196187, MonsterPoint, 小灰马, 97
249084, 232600, MonsterPoint, 小灰马, 98
99559, 167133, MonsterPoint, 小灰马, 99
99696, 167076, MonsterPoint, 小灰马, 100
111155, 98745, MonsterPoint, 小灰马, 103
111021, 98745, MonsterPoint, 小灰马, 104
135677, 72748, MonsterPoint, 小灰马, 105
131396, 63847, MonsterPoint, 小灰马, 106
185746, 101330, MonsterPoint, 小灰马, 110
185880, 101329, MonsterPoint, 小灰马, 111
105161, 182431, MonsterPoint, 小灰马, 113
96074, 103637, MonsterPoint, 小灰马, 117
96170, 103586, MonsterPoint, 小灰马, 118
279883, 239149, MonsterPoint, 青叶驹, 120
274017, 232745, MonsterPoint, 青叶驹, 121
285987, 220675, MonsterPoint, 青叶驹, 122
281211, 206646, MonsterPoint, 空雪·白公子, 123
278986, 210948, MonsterPoint, 小灰马, 124
298972, 170076, MonsterPoint, 小灰马, 125
299901, 172819, MonsterPoint, 空雪·白公子, 126
298756, 174769, MonsterPoint, 青叶驹, 127
283550, 180992, MonsterPoint, 小灰马, 128
311236, 167405, MonsterPoint, 小灰马, 130
310579, 167665, MonsterPoint, 空雪·白公子, 131
200236, 136749, MonsterPoint, 野外黄鼠狼, 143
180620, 143994, MonsterPoint, 野外黄鼠狼, 144
192856, 169513, MonsterPoint, 野外黄鼠狼, 147
208354, 139697, MonsterPoint, 野外黄鼠狼, 150
237099, 170102, MonsterPoint, 野外黄鼠狼, 153
239476, 176270, MonsterPoint, 野外黄鼠狼, 154
231469, 184075, MonsterPoint, 野外黄鼠狼, 155
221788, 184435, MonsterPoint, 野外黄鼠狼, 156
272709, 196842, MonsterPoint, 野外黄鼠狼, 157
291708, 216159, MonsterPoint, 野外黄鼠狼, 158
300402, 222206, MonsterPoint, 野外黄鼠狼, 159
298071, 213388, MonsterPoint, 野外黄鼠狼, 160
302327, 250445, MonsterPoint, 野外黄鼠狼, 161
300317, 260399, MonsterPoint, 野外黄鼠狼, 162
301874, 171060, MonsterPoint, 野外黄鼠狼, 163
297027, 180604, MonsterPoint, 幼年灰背野猪, 165
301632, 193323, MonsterPoint, 幼年灰背野猪, 166
274526, 182081, MonsterPoint, 幼年灰背野猪, 167
245456, 127388, MonsterPoint, 幼年灰背野猪, 170
180412, 127429, MonsterPoint, 花花, 171
176684, 153336, MonsterPoint, 20200117, 172
183267, 155637, MonsterPoint, 野外兔子, 173
181555, 166995, MonsterPoint, 狼, 174
197972, 152829, MonsterPoint, 幼年赤狐, 175
170192, 158035, MonsterPoint, 猫, 176
188732, 134149, MonsterPoint, 黑尾鼠, 177
124437, 146489, MonsterPoint, 黑尾鼠, 178
153020, 178370, MonsterPoint, 幼年赤狐, 179
153436, 186477, MonsterPoint, 野外兔子, 180
162085, 145108, MonsterPoint, 母鸡, 181
137860, 143015, MonsterPoint, 黑尾鼠, 182
142378, 161247, MonsterPoint, 野外黄鼠狼, 183
149632, 149236, MonsterPoint, 猫, 184
123867, 194626, MonsterPoint, 幼年灰背野猪, 185
131578, 236115, MonsterPoint, 幼年赤狐, 186
121826, 248322, MonsterPoint, 幼年赤狐, 187
139264, 260192, MonsterPoint, 幼年赤狐, 188
134749, 246973, MonsterPoint, 猫, 189
148970, 218581, MonsterPoint, 狼, 190
117125, 220605, MonsterPoint, 幼年赤狐, 191
117467, 217497, MonsterPoint, 野外兔子, 192
150239, 265485, MonsterPoint, 猫, 193
133028, 268687, MonsterPoint, 野外兔子, 194
80502, 148610, MonsterPoint, 20200117, 195
83094, 141973, MonsterPoint, 20200117, 196
78867, 136412, MonsterPoint, 花花, 197
67364, 143053, MonsterPoint, 花花, 198
98258, 148430, MonsterPoint, 野外兔子, 199
106402, 142509, MonsterPoint, 狼, 200
90864, 150479, MonsterPoint, 猫, 201
91260, 121073, MonsterPoint, 幼年赤狐, 202
104820, 97689, MonsterPoint, 狼, 204
102914, 92129, MonsterPoint, 20200117, 205
99528, 91866, MonsterPoint, 花花, 206
101992, 90064, MonsterPoint, 黑尾鼠, 207
108495, 106092, MonsterPoint, 野外黄鼠狼, 208
114510, 106293, MonsterPoint, 猫, 209
114960, 112055, MonsterPoint, 幼年赤狐, 210
77809, 96433, MonsterPoint, 猫, 211
77219, 104435, MonsterPoint, 猫, 212
73434, 105648, MonsterPoint, 野外兔子, 213
75572, 95920, MonsterPoint, 野外兔子, 214
77396, 91555, MonsterPoint, 野外兔子, 215
85971, 91203, MonsterPoint, 野外兔子, 216
103803, 110424, MonsterPoint, 幼年赤狐, 217
110589, 70999, MonsterPoint, 幼年赤狐, 218
100688, 70945, MonsterPoint, 野外兔子, 219
