
1, 洗影青莲, [757$$ 817$$ 877$$ 937], 30到40级制造装备复刻获得, icon_64_equip_coat_M_M_cLK_0001, icon_64_equip_coat_F_F_TY_0009b_02, icon_64_equip_coat_Z_Z_TY_0009b_02, icon_64_equip_coat_M_M_cLK_0001, icon_suit_equip_M_M_cLK_0001, icon_suit_equip_F_F_TY_0009b_02, icon_suit_equip_Z_Z_TY_0009b_02, icon_suit_equip_M_M_cLK_0001, 0, 0, 0, 0, 0, [], prod, 1, 0, , 1, 1, 
2, 绮念天罗, [758$$ 818$$ 878$$ 938], 40到50级制造装备复刻获得, icon_64_equip_coat_M_M_TY_0016b, icon_64_equip_coat_M_M_TY_0016b, icon_64_equip_coat_Z_Z_TY_0016b, icon_64_equip_coat_M_M_TY_0016b, icon_suit_equip_M_M_TY_0016b, icon_suit_equip_F_F_TY_0016b, icon_suit_equip_Z_Z_TY_0016b, icon_suit_equip_M_M_TY_0016b, 0, 0, 0, 0, 0, [], prod, 1, 0, , 1, 2, 
3, 苍山负雪, [759$$ 819$$ 879$$ 939], 50到60级制造装备复刻获得, icon_64_equip_coat_M_M_cSJ_0001, icon_64_equip_coat_F_F_TM_0009_02, icon_64_equip_coat_Z_Z_TM_0009_02, icon_64_equip_coat_M_M_cSJ_0001, icon_suit_equip_M_M_cSJ_0001, icon_suit_equip_F_F_TM_0009_02, icon_suit_equip_Z_Z_TM_0009_02, icon_suit_equip_M_M_cSJ_0001, 0, 0, 0, 0, 0, [], prod, 1, 0, , 1, 3, 
4, 左思明月, [760$$ 820$$ 880$$ 940], 60到70级制造装备复刻获得, icon_64_equip_coat_M_M_TY_0023, icon_64_equip_coat_F_F_TY_3002_02, icon_64_equip_coat_Z_Z_TY_3002_02, icon_64_equip_coat_M_M_TY_0023, icon_suit_equip_M_M_TY_0023, icon_suit_equip_F_F_TY_3002_02, icon_suit_equip_Z_Z_TY_3002_02, icon_suit_equip_M_M_TY_0023, 0, 0, 0, 0, 0, [], prod, 1, 0, , 1, 4, 
5, 春水清茗, [761$$ 821$$ 881$$ 941], 可通过“佳节令”与开封的叶开(兑换佳节奖励)兑换, icon_64_equip_coat_M_M_TY_0032, icon_64_equip_coat_F_F_TY_0032, icon_64_equip_coat_Z_Z_TY_0032, icon_64_equip_coat_M_M_TY_0032, icon_suit_equip_M_M_TY_0032, icon_suit_equip_F_F_TY_0032, icon_suit_equip_Z_Z_TY_0032, icon_suit_equip_M_M_TY_0032, 0, 0, 0, 0, 0, [], huodong, 1, 0, , 1, 5, 
6, 曾慕多情, [762$$ 822$$ 882$$ 942], 暂未开放, icon_64_equip_coat_M_M_TY_0030, icon_64_equip_coat_F_F_TY_0030, icon_64_equip_coat_Z_Z_TY_0030, icon_64_equip_coat_M_M_TY_0030, icon_suit_equip_M_M_TY_0030, icon_suit_equip_F_F_TY_0030, icon_suit_equip_Z_Z_TY_0030, icon_suit_equip_M_M_TY_0030, 0, 0, 0, 0, 0, [], other, 1, 0, , 1, 6, 
7, 莫忘初心, [748$$ 808$$ 868$$ 928], 1级九华低等级任务装复刻获得<br>门派服装店处购买亦可获得, icon_64_equip_coat_M_M_cSJ_0019, icon_64_equip_coat_F_F_TX_0007d, icon_64_equip_coat_Z_Z_TX_0007d, icon_64_equip_coat_M_M_cSJ_0019, icon_suit_equip_M_M_cSJ_0019, icon_suit_equip_F_F_TX_0007d, icon_suit_equip_Z_Z_TX_0007d, icon_suit_equip_M_M_cSJ_0019, 0, 0, 0, 0, 0, [], work, 1, 1, , 1, 7, 
8, 朗月天风, [749$$ 809$$ 869$$ 929], 11级杭州低等级任务装复刻获得<br>门派服装店处购买亦可获得, icon_64_equip_coat_M_M_TY_0027, icon_64_equip_coat_F_F_TY_0028, icon_64_equip_coat_Z_Z_TY_0028, icon_64_equip_coat_M_M_TY_0027, icon_suit_equip_M_M_TY_0027, icon_suit_equip_F_F_TY_0028, icon_suit_equip_Z_Z_TY_0028, icon_suit_equip_M_M_TY_0027, 0, 0, 0, 0, 0, [], work, 1, 0, , 1, 8, 
9, 暖玉轻革, [750$$ 810$$ 870$$ 930], 21级江南任务装复刻获得<br>门派服装店处购买亦可获得, icon_64_equip_coat_M_M_TY_0010b, icon_64_equip_coat_F_F_TY_0010a, icon_64_equip_coat_Z_Z_TY_0010a, icon_64_equip_coat_M_M_TY_0010b, icon_suit_equip_M_M_TY_0010b, icon_suit_equip_F_F_TY_0010a, icon_suit_equip_Z_Z_TY_0010a, icon_suit_equip_M_M_TY_0010b, 0, 0, 0, 0, 0, [], work, 1, 0, , 1, 9, 
10, 红尘紫陌, [751$$ 811$$ 871$$ 931], 31级东越任务装复刻获得<br>主城服装店处购买亦可获得, icon_64_equip_coat_M_M_TY_0013a, icon_64_equip_coat_F_F_TY_0013a, icon_64_equip_coat_Z_Z_TY_0013a, icon_64_equip_coat_M_M_TY_0013a, icon_suit_equip_M_M_TY_0013a, icon_suit_equip_F_F_TY_0013a, icon_suit_equip_Z_Z_TY_0013a, icon_suit_equip_M_M_TY_0013a, 0, 0, 0, 0, 0, [], work, 1, 0, , 1, 10, 
