a, b, skillId, familyLevel, , , , , , , , , xiuwei, banggong, , suiyin, , , , , , , , , , , , , , , , , , , des,

12, 2, 1, 0, 1, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, [], [], 0, 0, 提升繁荣度获取效果,
13, 2, 1, 1, 2, 200, 0, 200000, 0, 0, 0, 515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速1%,
14, 2, 1, 2, 3, 300, 0, 400000, 0, 0, 0, 1027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速2%,
15, 2, 1, 3, 4, 350, 0, 600000, 0, 0, 0, 1539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速3%,
16, 2, 1, 4, 5, 400, 0, 800000, 0, 0, 0, 2051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速4%,
17, 2, 1, 5, 10, 500, 0, 1000000, 0, 0, 0, 2563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速5%,
3747, 2, 1, 6, 15, 600, 0, 1200000, 0, 0, 0, 3075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速6%,
3748, 2, 1, 7, 20, 700, 0, 1400000, 0, 0, 0, 3587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速7%,
3749, 2, 1, 8, 25, 800, 0, 1600000, 0, 0, 0, 4099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速8%,
3750, 2, 1, 9, 25, 900, 0, 1800000, 0, 0, 0, 4611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速9%,
3751, 2, 1, 10, 25, 1000, 0, 2000000, 0, 0, 0, 5123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, [], [], 0, 0, 繁荣度获得加速10%,
18, 2, 2, 0, 1, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, [], [], 0, 0, 提升帮派资金获取效率,
19, 2, 2, 1, 2, 200, 0, 200000, 0, 0, 0, 515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升1%,
20, 2, 2, 2, 3, 300, 0, 400000, 0, 0, 0, 1027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升2%,
21, 2, 2, 3, 4, 350, 0, 600000, 0, 0, 0, 1539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升3%,
22, 2, 2, 4, 5, 400, 0, 800000, 0, 0, 0, 2051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升4%,
23, 2, 2, 5, 10, 500, 0, 1000000, 0, 0, 0, 2563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升5%,
3752, 2, 2, 6, 15, 600, 0, 1200000, 0, 0, 0, 3075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升6%,
3753, 2, 2, 7, 20, 700, 0, 1400000, 0, 0, 0, 3587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升7%,
3754, 2, 2, 8, 25, 800, 0, 1600000, 0, 0, 0, 4099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升8%,
3755, 2, 2, 9, 25, 900, 0, 1800000, 0, 0, 0, 4611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升9%,
3756, 2, 2, 10, 25, 1000, 0, 2000000, 0, 0, 0, 5123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 6, [], [], 0, 0, 帮派资金获取效率提升10%,
24, 2, 19, 0, 1, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, [1$$ 2$$ 3$$ 4], [1$$ 1$$ 1$$ 1], 0, 0, 提升总舵建筑耐久度,
25, 2, 19, 1, 2, 200, 0, 200000, 0, 0, 0, 515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [1$$ 2$$ 3$$ 4], [100$$ 100$$ 100$$ 100], 0, 0, 提升总舵主建筑耐久度100,
26, 2, 19, 2, 3, 300, 0, 400000, 0, 0, 0, 1027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [1$$ 2$$ 3$$ 4], [200$$ 200$$ 200$$ 200], 0, 0, 提升总舵主建筑耐久度300,
27, 2, 19, 3, 4, 350, 0, 600000, 0, 0, 0, 1539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [1$$ 2$$ 3$$ 4], [300$$ 300$$ 300$$ 300], 0, 0, 提升总舵主建筑耐久度600,
28, 2, 19, 4, 5, 400, 0, 800000, 0, 0, 0, 2051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [1$$ 2$$ 3$$ 4], [400$$ 400$$ 400$$ 400], 0, 0, 提升总舵主建筑耐久度1000,
29, 2, 19, 5, 10, 9999, 0, 1000000, 0, 0, 0, 2563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [1$$ 2$$ 3$$ 4], [500$$ 500$$ 500$$ 500], 0, 0, 提升总舵主建筑耐久度1500,
30, 2, 20, 0, 1, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, [5$$ 6$$ 7], [1$$ 1$$ 1], 0, 0, 提升总舵哨塔耐久度,
31, 2, 20, 1, 2, 200, 0, 200000, 0, 0, 0, 515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [5$$ 6$$ 7], [100$$ 100$$ 100], 0, 0, 提升哨塔耐久度100,
32, 2, 20, 2, 3, 300, 0, 400000, 0, 0, 0, 1027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, [5$$ 6$$ 7], [200$$ 200$$ 200], 0, 0, 提升哨塔耐久度300,
